actor ID,actor name,movie ID,grouped,title
4935697,Justin R. Alvarez,6463542,4935697_6463542,Spider-Man: Reinforcements
0382229,Herbert Heyes,6463542,0382229_6463542,Spider-Man: Reinforcements
4669158,Meera Al Midfa,6463542,4669158_6463542,Spider-Man: Reinforcements
0046340,David Baer,6463542,0046340_6463542,Spider-Man: Reinforcements
8246030,Bryan Hurd,6463542,8246030_6463542,Spider-Man: Reinforcements
0000177,Kevin Kline,0119349,0000177_0119349,The Ice Storm
0000260,Joan Allen,0119349,0000260_0119349,The Ice Storm
0000244,Sigourney Weaver,0119349,0000244_0119349,The Ice Storm
0001089,Henry Czerny,0119349,0001089_0119349,The Ice Storm
0001497,Tobey Maguire,0119349,0001497_0119349,The Ice Storm
0000207,Christina Ricci,0119349,0000207_0119349,The Ice Storm
0000704,Elijah Wood,0119349,0000704_0119349,The Ice Storm
0002123,Adam Hann-Byrd,0119349,0002123_0119349,The Ice Storm
0472710,David Krumholtz,0119349,0472710_0119349,The Ice Storm
0792177,Jamey Sheridan,0119349,0792177_0119349,The Ice Storm
0123632,Kate Burton,0119349,0123632_0119349,The Ice Storm
0128972,William Cain,0119349,0128972_0119349,The Ice Storm
0192054,Michael Cumpsty,0119349,0192054_0119349,The Ice Storm
0200770,Maia Danziger,0119349,0200770_0119349,The Ice Storm
0005017,Katie Holmes,0119349,0005017_0119349,The Ice Storm
0250841,Michael Egerman,0119349,0250841_0119349,The Ice Storm
0268194,Christine Farrell,0119349,0268194_0119349,The Ice Storm
0280245,Glenn Fitzgerald,0119349,0280245_0119349,The Ice Storm
0005049,Allison Janney,0119349,0005049_0119349,The Ice Storm
0293455,Jonathan Freeman,0119349,0293455_0119349,The Ice Storm
0308241,Barbara Garrick,0119349,0308241_0119349,The Ice Storm
0311126,Dennis Gagomiros,0119349,0311126_0119349,The Ice Storm
0382632,John Benjamin Hickey,0119349,0382632_0119349,The Ice Storm
0280847,Tom Flagg,0119349,0280847_0119349,The Ice Storm
0421120,Byron Jennings,0119349,0421120_0119349,The Ice Storm
0546403,Miles Marek,0119349,0546403_0119349,The Ice Storm
0453323,Colette Kilroy,0119349,0453323_0119349,The Ice Storm
0472160,Ivan Kronenfeld,0119349,0472160_0119349,The Ice Storm
0567716,Daniel McDonald,0119349,0567716_0119349,The Ice Storm
0593291,Donna Mitchell,0119349,0593291_0119349,The Ice Storm
0623571,Barbara Neal,0119349,0623571_0119349,The Ice Storm
0649062,Nancy Opel,0119349,0649062_0119349,The Ice Storm
0683978,Larry Pine,0119349,0683978_0119349,The Ice Storm
0779906,Wendy Scott,0119349,0779906_0119349,The Ice Storm
0742409,Marcell Rosenblatt,0119349,0742409_0119349,The Ice Storm
0812649,Evelyn Solann,0119349,0812649_0119349,The Ice Storm
0831953,Jessica Stone,0119349,0831953_0119349,The Ice Storm
0860688,Sarah Thompson,0119349,0860688_0119349,The Ice Storm
0921137,Scott Wentworth,0119349,0921137_0119349,The Ice Storm
0922533,Robert Westenberg,0119349,0922533_0119349,The Ice Storm
0131974,Colleen Camp,0119349,0131974_0119349,The Ice Storm
0570720,Bill McIntyre,0119349,0570720_0119349,The Ice Storm
0633271,Richard Nixon,0119349,0633271_0119349,The Ice Storm
0640382,Joe O'Connor,0119349,0640382_0119349,The Ice Storm
0670780,Courtney Peldon,0119349,0670780_0119349,The Ice Storm
